Question_number,Questions
4.1,"To calculate the moment of inertia of a solid sphere about an axis through its center, you can use the following LaTeX code to represent the formula:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

The moment of inertia \( I \) of a solid sphere about an axis through its center is given by the formula:

\[
I = \frac{2}{5} m r^2
\]

where:
\begin{align*}
m & : \text{mass of the sphere} \\
r & : \text{radius of the sphere}
\end{align*}

\end{document}
```

This LaTeX code will produce a properly formatted document with the equation for the moment of inertia of a solid sphere, along with a description of the variables involved."
4.2,"To properly format the given physics text into LaTeX, we can use the following code:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

Two particles of masses $m_1$ and $m_2$ are connected by a rigid massless rod of length $r$ to constitute a dumbbell which is free to move in a plane. Show that the moment of inertia of the dumbbell about an axis perpendicular to the plane passing through the centre of mass is $\mu r^2$ where $\mu$ is the reduced mass.

\end{document}
```

This LaTeX code ensures that the mathematical symbols and expressions are correctly formatted, with proper use of subscripts and superscripts."
4.3,"To show that the moment of inertia of a right circular cone about its axis is \(\frac{3}{10} Ma^2\), you can use the following LaTeX code to format the problem statement:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

Show that the moment of inertia of a right circular cone of mass \(M\), height \(h\), and base radius \(a\) about its axis is \(\frac{3}{10} Ma^2\).

\end{document}
```

This LaTeX code will correctly format the physics problem statement, ensuring that all variables and expressions are properly displayed."
4.4,"To format the given physics text into LaTeX, we need to clearly present the problem statement and the relevant parameters. Here is the LaTeX code for the given text:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

\section*{Problem Statement}

Calculate the moment of inertia of a right circular cylinder of radius $R$ and length $h$ about a line at right angles to its axis and passing through the middle point.

\end{document}
```

This LaTeX code sets up a simple document with a section for the problem statement, ensuring that the mathematical symbols for radius \( R \) and length \( h \) are properly formatted."
4.5,"To properly format the given physics text into LaTeX, we need to ensure that the mathematical expressions are correctly represented. Here's the LaTeX code for the problem statement:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

Show that the radius of gyration about an axis through the centre of a hollow cylinder of external radius \( a \) and internal radius \( b \) is given by

\[
k = \sqrt{\frac{2}{5} \left( \frac{a^5 - b^5}{a^3 - b^3} \right)}
\]

\end{document}
```

This code sets up a basic LaTeX document, includes the `amsmath` package for enhanced mathematical formatting, and then presents the problem statement and the formula for the radius of gyration in a clear and structured manner."
4.6,"To format the given physics problem in LaTeX, we need to clearly present the problem statement and the different parts of the question. Here's how you can format it:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

\section*{Problem Statement}

Calculate the moment of inertia of a thin rod:

\begin{enumerate}
    \item[(a)] About an axis passing through its centre and perpendicular to its length.
    \item[(b)] About an end perpendicular to the rod.
\end{enumerate}

\end{document}
```

This LaTeX code sets up a document with a problem statement section, and it clearly lists the two parts of the problem using an enumerated list. Each part is labeled with `(a)` and `(b)` as specified in the original text."
4.7,"To properly format the given physics text into LaTeX, we need to structure the equation and text clearly. Here's the LaTeX code:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

Show that the moment of inertia of a rectangular plate of mass $m$ and sides $2a$ and $2b$ about the diagonal is 

\[
I = \frac{2}{3} m \frac{a^2 b^2}{a^2 + b^2}
\]

\end{document}
```

This LaTeX code includes the necessary packages and formats the equation using the `align` environment for clarity. The equation is displayed in a block format, which is typical for such derivations in physics."
4.8,"To properly format the given physics text into LaTeX, we need to ensure that the mathematical expressions and the description are clearly presented. Here is the LaTeX code for the given text:

```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

The lengths of the sides of a right-angled triangular lamina are 3 cm, 4 cm, and 5 cm. The moments of inertia of the lamina about the sides are denoted as $I_1$, $I_2$, and $I_3$, respectively (see Fig. 4.1). Show that $I_1 > I_2 > I_3$.

\begin{figure}[h]
    \centering
    \includegraphics[width=0.4\textwidth]{figure4_1.png} % Replace with actual image file
    \caption{Figure 4.1: Right-angled triangular lamina}
    \label{fig:triangle}
\end{figure}

\end{document}
```

This LaTeX code includes:

- Proper mathematical formatting for the moments of inertia using `$` for inline math.
- A figure environment for including a reference to Fig. 4.1, with a placeholder for the image file.
- A clear structure that separates the text description from the figure."
4.9,"To convert the given physics text into properly formatted LaTeX, we need to clearly define the problem statement and use appropriate LaTeX commands for mathematical symbols and formatting. Here's how you can write it:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

A circular disc of radius $R$ and thickness $R/6$ has moment of inertia $I$ about the axis perpendicular to the plane and passing through its centre. The disc is melted and recasted into a solid sphere. Show that the moment of inertia of the sphere about its diameter is $\frac{I}{5}$.

\end{document}
```

This LaTeX code uses the `amsmath` package for improved mathematical formatting. The text is structured to clearly present the problem statement, with mathematical symbols properly formatted using dollar signs for inline math mode."
4.10,"To calculate the moment of inertia of a hollow sphere of mass \( M \) and radius \( R \) about its diameter, you can use the following LaTeX code to format the equation:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

The moment of inertia \( I \) of a hollow sphere about its diameter is given by the formula:

\[
I = \frac{2}{3} M R^2
\]

where:
\begin{itemize}
    \item \( M \) is the mass of the hollow sphere,
    \item \( R \) is the radius of the hollow sphere.
\end{itemize}

\end{document}
```

This code snippet will properly format the physics text into LaTeX, displaying the formula for the moment of inertia of a hollow sphere about its diameter."
