Question_number,Question
4.1,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

\section*{Moment of Inertia of a Sphere}

Imagine the sphere of mass $M$ and radius $R$ to be made of a series of circular discs, a typical one being of thickness $dx$ at distance $x$ from the center, as shown in Fig. 4.16. The area of the disc is $\pi(R^2 - x^2)$, and if the density of the sphere is $\rho$, the mass of the disc is $\rho \pi (R^2 - x^2) dx$.

The elementary moment of inertia of the disc about the axis OX is given by:

\[
dI = \frac{1}{2} \text{(mass)} \times \text{(radius)}^2 = \frac{1}{2} \pi \rho (R^2 - x^2) dx (R^2 - x^2)
\]

Hence, the moment of inertia of the sphere is:

\[
I = \int dI = \int_0^R \frac{\pi \rho}{2} (R^2 - x^2)^2 \, dx
\]

Evaluating the integral, we find:

\[
I = \frac{8\pi \rho}{15} R^5
\]

Substituting $\rho = \frac{3M}{4\pi R^3}$, we have:

\[
I = \frac{2}{5} M R^2
\]

\begin{figure}[h]
    \centering
    \includegraphics[width=0.5\textwidth]{sphere_diagram.png} % Replace with actual image file
    \caption{Fig. 4.16: Cross-section of the sphere showing a typical disc.}
\end{figure}

\end{document}
```

This LaTeX code includes the necessary formatting for the physics problem and solution, with equations properly aligned and formatted. The figure reference is included, assuming an image file named `sphere_diagram.png` is available. Adjust the image file name as necessary."
4.2,"```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

Let the masses \( m_1 \) and \( m_2 \) be at distances \( r_1 \) and \( r_2 \), respectively, from the center of mass. Then, the distances are given by:

\[
r_1 = \frac{m_2 r}{m_1 + m_2}, \quad r_2 = \frac{m_1 r}{m_1 + m_2}
\]

The moment of inertia of the masses about the center of mass is given by:

\[
I = m_1 r_1^2 + m_2 r_2^2
\]

Substituting the expressions for \( r_1 \) and \( r_2 \), we have:

\[
I = m_1 \left( \frac{m_2 r}{m_1 + m_2} \right)^2 + m_2 \left( \frac{m_1 r}{m_1 + m_2} \right)^2
\]

Simplifying, we get:

\[
I = \frac{m_1 m_2^2 r^2}{(m_1 + m_2)^2} + \frac{m_2 m_1^2 r^2}{(m_1 + m_2)^2}
\]

\[
I = \frac{m_1 m_2 (m_2 + m_1) r^2}{(m_1 + m_2)^2}
\]

\[
I = \frac{m_1 m_2}{m_1 + m_2} r^2
\]

Thus, the moment of inertia can be expressed as:

\[
I = \mu r^2
\]

where \( \mu = \frac{m_1 m_2}{m_1 + m_2} \).

\end{document}
```"
4.3,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

\section*{Moment of Inertia of a Cone}

Consider the cone to be made up of a series of discs, a typical one of radius $r$ and of thickness $dz$ at distance $z$ from the apex. The volume of the disc is given by:

\[
dV = \pi r^2 dz
\]

Its mass will be:

\[
dm = \rho dV = \pi \rho r^2 dz
\]

where $\rho$ is the mass density of the cone. The moment of inertia $dI$ of the disc about the $z$-axis is given by:

\[
dI = \frac{1}{2} r^2 dm = \frac{\pi}{2} \rho r^4 dz
\]

From the geometry of the figure, we have the relation:

\[
\frac{r}{a} = \frac{z}{h} \quad \text{or} \quad r = \frac{az}{h}
\]

where $h$ is the height of the cone and $a$ is the radius of the base. Substituting for $r$, we get:

\[
dI = \frac{\pi}{2} \rho \left(\frac{az}{h}\right)^4 dz = \frac{\pi}{2} \rho \frac{a^4}{h^4} z^4 dz
\]

The total moment of inertia $I$ is obtained by integrating $dI$ from $z = 0$ to $z = h$:

\[
I = \int dI = \frac{\pi}{2} \rho \frac{a^4}{h^4} \int_0^h z^4 dz
\]

Evaluating the integral, we have:

\[
I = \frac{\pi}{2} \rho \frac{a^4}{h^4} \left[ \frac{z^5}{5} \right]_0^h = \frac{\pi}{10} \rho a^4 h
\]

Given that the mass density $\rho$ is:

\[
\rho = \frac{3M}{\pi a^2 h}
\]

Substituting $\rho$ into the expression for $I$, we find:

\[
I = \frac{3M a^2}{10}
\]

\begin{center}
\includegraphics[width=0.5\textwidth]{Fig4_17.png} % Replace with the actual path to the figure
\end{center}

\end{document}
```

This LaTeX code formats the given physics problem and solution, including the necessary equations and logical steps, and provides a placeholder for the referenced figure (Fig. 4.17)."
4.4,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

Consider a slice of the cylinder of thickness \( dz \) at distance \( z \) from the center of mass of the cylinder \( O \). The moment of inertia about an axis passing through the center of the slice and perpendicular to the \( z \)-axis will be 

\[
dI = \frac{1}{4} dm R^2
\]

Refer to Fig. 4.18. Then the moment of inertia about an axis parallel to the slice and passing through the center of mass is given by the parallel axis theorem, as shown in Fig. 4.18. Thus,

\[
dI_C = \frac{1}{4} dm R^2 + dm z^2 = \pi R^2 \rho \left( \frac{R^2}{4} + z^2 \right) dz
\]

where \( dm = \pi R^2 \rho dz \) is the mass of the slice and \( \rho \) is the density. Therefore,

\[
I_C = \int dI_C = \pi R^2 \rho \int_{-h/2}^{h/2} \left( \frac{R^2}{4} + z^2 \right) dz
\]

Evaluating the integral, we have:

\[
I_C = \pi R^2 \rho \left[ \frac{R^2}{4} h + \frac{h^3}{12} \right]
\]

But since \( \rho = \frac{M}{\pi R^2 h} \), substituting this into the equation gives:

\[
I_C = \frac{M}{12} \left( 3R^2 + h^2 \right)
\]

\end{document}
```

This LaTeX code includes the necessary equations and explanations, formatted correctly for a physics problem involving the moment of inertia of a cylindrical slice."
4.5,"```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

The moment of inertia of the larger solid sphere of mass \( M \) is given by
\begin{equation}
    I_1 = \frac{2}{5} M a^2
\end{equation}

The moment of inertia of the smaller solid sphere of mass \( m \), which is removed to hollow the sphere, is
\begin{equation}
    I_2 = \frac{2}{5} m b^2
\end{equation}

As the axis about which the moment of inertia is calculated is common to both spheres, the moment of inertia of the hollow sphere will be
\begin{align}
    I &= I_1 - I_2 \\
      &= \frac{2}{5} (M a^2 - m b^2) \\
      &= (M - m) k^2
\end{align}
where \( (M - m) \) is the mass of the hollow sphere and \( k \) is the radius of gyration.

Now, 
\begin{equation}
    M = \frac{4}{3} \pi a^3 \rho \quad \text{and} \quad m = \frac{4}{3} \pi b^3 \rho
\end{equation}

Using equation (4) in equation (3) and simplifying, we get
\begin{equation}
    k = \sqrt{\frac{2}{5} \frac{a^5 - b^5}{a^3 - b^3}}
\end{equation}

\end{document}
```

This LaTeX code will format the given physics problem and solution with proper mathematical notation and alignment."
4.6,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

\section*{Problem}

\begin{enumerate}
    \item[(a)] Let \( AB \) represent a thin rod of length \( L \) and mass \( M \), as shown in Fig. 4.19. Choose the \( x \)-axis along the length of the rod and the \( y \)-axis perpendicular to it, passing through its center of mass \( O \). Consider a differential element of length \( dx \) at a distance \( x \) from \( O \). The mass associated with this element is \(\frac{M}{L} dx\). The contribution to the moment of inertia about the \( y \)-axis by this element of length will be \(\frac{M}{L} dx \cdot x^2\). The moment of inertia of the rod about the \( y \)-axis passing through the center of mass is

    \[
    I_C = \int dI_C = \int_{-L/2}^{L/2} \frac{M}{L} x^2 \, dx = \frac{ML^2}{12}
    \]

    \item[(b)] The moment of inertia about the \( y \)-axis passing through the end of the rod (either \( A \) or \( B \)) is given by the parallel axis theorem:

    \[
    I_A = I_B = I_C + M \left(\frac{L}{2}\right)^2 = \frac{ML^2}{3}
    \]

\end{enumerate}

\begin{figure}[h]
    \centering
    \includegraphics[width=0.5\textwidth]{fig4_19.png}
    \caption{Diagram of the rod \( AB \) with center of mass \( O \).}
\end{figure}

\end{document}
```

This LaTeX code correctly formats the physics problem and solution, including the use of integrals and the parallel axis theorem for calculating moments of inertia. The figure reference is included as a placeholder, assuming the figure is available as `fig4_19.png`. Adjust the figure path as necessary."
4.7,"```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

The moment of inertia of the plate about the \( x \)-axis is 
\[
I_x = \frac{1}{3} M b^2
\]
and about the \( y \)-axis is 
\[
I_y = \frac{1}{3} M a^2.
\]

It can be shown that the moment of inertia about the line \( BD \) is 
\[
I_{BD} = \frac{1}{3} M b^2 \cos^2 \theta + \frac{1}{3} M a^2 \sin^2 \theta
\]
where \( \theta \) is the angle made by \( BD \) with the \( x \)-axis.

From Fig. 4.20, 
\[
\cos \theta = \frac{a}{\sqrt{a^2 + b^2}} \quad \text{and} \quad \sin \theta = \frac{b}{\sqrt{a^2 + b^2}}.
\]

Therefore, 
\[
I_{BD} = \frac{1}{3} M b^2 \frac{a^2}{a^2 + b^2} + \frac{1}{3} M a^2 \frac{b^2}{a^2 + b^2} = \frac{2}{3} M \frac{a^2 b^2}{a^2 + b^2}.
\]

\begin{center}
\textbf{Fig. 4.20}
\end{center}

\end{document}
```"
4.8,"```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

The moment of inertia about any side of a triangle is given by the product of one-sixth the mass $m$ of the triangle and the square of the distance $p$ from the opposite vertex, i.e.,
\[
I = \frac{mp^2}{6}.
\]

The perpendicular $BD$ on $AC$ is found to be equal to $\frac{12}{5}$ from the geometry of Fig. 4.21.

\begin{figure}[h]
    \centering
    % Insert the figure here, e.g., \includegraphics{figure.png}
    \caption{Geometry of the triangle}
    \label{fig:triangle}
\end{figure}

For the sides of the triangle, the moments of inertia are calculated as follows:

\[
I_1 = \frac{m}{6} (AB)^2 = \frac{m}{6} \times 64 = \frac{8m}{3}
\]

\[
I_2 = \frac{m}{6} (BC)^2 = \frac{m}{6} \times 36 = \frac{3m}{2}
\]

\[
I_3 = \frac{m}{6} (BD)^2 = \frac{m}{6} \left(\frac{12}{5}\right)^2 = \frac{24m}{25}
\]

Thus, we have the inequality:
\[
I_1 > I_2 > I_3
\]

\end{document}
```"
4.9,"```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

If the radius of the sphere is \( r \), then the volume of the sphere must be equal to that of the disc:

\[
\frac{4}{3} \pi r^3 = \pi R^2 \cdot \frac{R}{6}
\]

Solving for \( r \), we get:

\[
r = \frac{R}{2}
\]

The moment of inertia of the disc \( I_D \) is given by:

\[
I_D = \frac{1}{2} m R^2
\]

The moment of inertia of the sphere \( I_S \) is:

\[
I_S = \frac{2}{5} m r^2 = \frac{2}{5} m \left(\frac{R}{2}\right)^2 = \frac{2}{5} m \frac{R^2}{4} = \frac{1}{5} \times \frac{1}{2} m R^2 = \frac{1}{5} I_D
\]

\end{document}
```"
4.10,"```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

Consider a strip of radius \( r \) on the surface of the sphere symmetrical about the \( z \)-axis and width \( R \, d\theta \), where \( R \) is the radius of the hollow sphere, as shown in Fig. 4.22.

The area of the strip is given by:
\[
dA = 2\pi r \cdot R \, d\theta = 2\pi R^2 \sin\theta \, d\theta
\]

If \( \sigma \) is the surface mass density (mass per unit area), then the mass of the strip is:
\[
dm = 2\pi R^2 \sigma \sin\theta \, d\theta
\]

The moment of inertia of the elementary strip about the \( z \)-axis is:
\[
dI = dm \cdot r^2 = 2\pi R^4 \sigma \sin^3\theta \, d\theta
\]

The moment of inertia contributed by the entire surface will be:
\[
I = \int dI = 2\pi R^4 \sigma \int_0^{\pi} \sin^3\theta \, d\theta
\]

Evaluating the integral:
\[
\int_0^{\pi} \sin^3\theta \, d\theta = \frac{4}{3}
\]

Thus, the moment of inertia is:
\[
I = 2\pi R^4 \sigma \cdot \frac{4}{3}
\]

Given that \( \sigma = \frac{M}{4\pi R^2} \), we substitute to find:
\[
I = 2\pi R^4 \cdot \frac{M}{4\pi R^2} \cdot \frac{4}{3} = \frac{2}{3} M R^2
\]

\end{document}
```"
