Question_number,Questions,Category,Solutions
3.1,"\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

\section*{Physics Problem: Loop-the-loop}

A particle starts at height \( h \) on the slide and acquires a velocity \( v \) at the bottom of the loop. The behavior of the particle depends on the velocity \( v \) as follows:

- If \( v < \sqrt{2gR} \), the particle will not be able to climb beyond the point \( B \). It will oscillate in the lower semicircle about the point \( D \).
- If \( \sqrt{2gR} < v < \sqrt{5gR} \), the particle will be able to climb up the arc \( BC \) and leave at some point \( E \) and describe a parabolic path.
- If \( v > \sqrt{5gR} \), the particle will be able to execute a complete circle. This corresponds to a height \( h = 2.5R \).

\begin{figure}[h]
    \centering
    \includegraphics[width=0.5\textwidth]{loop-the-loop.png}
    \caption{Loop-the-loop}
    \label{fig:loop-the-loop}
\end{figure}

\section*{Problem 3.1}

Show that a particle with coordinates \( x = a \cos t \), \( y = a \sin t \), and \( z = t \) traces a path in time which is a helix.

\textit{[Adapted from Hyderabad Central University 1988]}

\end{document}",Rotational Kinematics,"\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

\section*{Physics Problem: Loop-the-loop}

A particle starts at height \( h \) on the slide and acquires a velocity \( v \) at the bottom of the loop. The behavior of the particle depends on the velocity \( v \) as follows:

- If \( v < \sqrt{2gR} \), the particle will not be able to climb beyond the point \( B \). It will oscillate in the lower semicircle about the point \( D \).
- If \( \sqrt{2gR} < v < \sqrt{5gR} \), the particle will be able to climb up the arc \( BC \) and leave at some point \( E \) and describe a parabolic path.
- If \( v > \sqrt{5gR} \), the particle will be able to execute a complete circle. This corresponds to a height \( h = 2.5R \).

\begin{figure}[h]
    \centering
    \includegraphics[width=0.5\textwidth]{loop-the-loop.png}
    \caption{Loop-the-loop}
    \label{fig:loop-the-loop}
\end{figure}

\section*{Problem 3.1}

Show that a particle with coordinates \( x = a \cos t \), \( y = a \sin t \), and \( z = t \) traces a path in time which is a helix.

\textit{[Adapted from Hyderabad Central University 1988]}

\end{document}"
3.2,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

A particle of mass \( m \) is moving in a circular path of constant radius \( r \) such that its centripetal acceleration \( a \) varies with time \( t \) as 
\[
a = k^2 r t^2,
\]
where \( k \) is a constant. Show that the power delivered to the particle by the forces acting on it is 
\[
\frac{m k^4 r^2 t^5}{3}.
\]

\end{document}",Rotational Kinematics,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

A particle of mass \( m \) is moving in a circular path of constant radius \( r \) such that its centripetal acceleration \( a \) varies with time \( t \) as 
\[
a = k^2 r t^2,
\]
where \( k \) is a constant. Show that the power delivered to the particle by the forces acting on it is 
\[
\frac{m k^4 r^2 t^5}{3}.
\]

\end{document}"
3.3,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

A particle is moving in a plane with constant radial velocity of magnitude \(\dot{r} = 5 \, \text{m/s}\) and a constant angular velocity of magnitude \(\dot{\theta} = 4 \, \text{rad/s}\). Determine the magnitude of the velocity when the particle is 3 m from the origin.

\bigskip

To find the magnitude of the velocity \(v\) of the particle, we use the formula for velocity in polar coordinates:
\[
v = \sqrt{\dot{r}^2 + (r\dot{\theta})^2}
\]

Given:
\[
\dot{r} = 5 \, \text{m/s}, \quad \dot{\theta} = 4 \, \text{rad/s}, \quad r = 3 \, \text{m}
\]

Substitute the given values into the equation:
\[
v = \sqrt{(5 \, \text{m/s})^2 + (3 \, \text{m} \times 4 \, \text{rad/s})^2}
\]

Calculate:
\[
v = \sqrt{25 + (12)^2} = \sqrt{25 + 144} = \sqrt{169} = 13 \, \text{m/s}
\]

Thus, the magnitude of the velocity when the particle is 3 m from the origin is \(13 \, \text{m/s}\).

\end{document}",Rotational Kinematics,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

A particle is moving in a plane with constant radial velocity of magnitude \(\dot{r} = 5 \, \text{m/s}\) and a constant angular velocity of magnitude \(\dot{\theta} = 4 \, \text{rad/s}\). Determine the magnitude of the velocity when the particle is 3 m from the origin.

\bigskip

To find the magnitude of the velocity \(v\) of the particle, we use the formula for velocity in polar coordinates:
\[
v = \sqrt{\dot{r}^2 + (r\dot{\theta})^2}
\]

Given:
\[
\dot{r} = 5 \, \text{m/s}, \quad \dot{\theta} = 4 \, \text{rad/s}, \quad r = 3 \, \text{m}
\]

Substitute the given values into the equation:
\[
v = \sqrt{(5 \, \text{m/s})^2 + (3 \, \text{m} \times 4 \, \text{rad/s})^2}
\]

Calculate:
\[
v = \sqrt{25 + (12)^2} = \sqrt{25 + 144} = \sqrt{169} = 13 \, \text{m/s}
\]

Thus, the magnitude of the velocity when the particle is 3 m from the origin is \(13 \, \text{m/s}\).

\end{document}"
3.4,"To solve this problem, we need to find the time at which the normal (centripetal) acceleration equals the tangential acceleration. Let's denote:

- \( a_t = 10 \, \text{cm/s}^2 \) as the tangential acceleration,
- \( r = 40 \, \text{cm} \) as the radius of the circle.

The normal acceleration \( a_n \) is given by:

\[
a_n = \frac{v^2}{r}
\]

where \( v \) is the tangential velocity. Since the point starts from rest and moves with a constant tangential acceleration, the velocity \( v \) at time \( t \) is:

\[
v = a_t \cdot t
\]

Substituting this into the expression for normal acceleration, we get:

\[
a_n = \frac{(a_t \cdot t)^2}{r}
\]

We set the normal acceleration equal to the tangential acceleration:

\[
\frac{(a_t \cdot t)^2}{r} = a_t
\]

Simplifying, we have:

\[
(a_t \cdot t)^2 = a_t \cdot r
\]

\[
a_t^2 \cdot t^2 = a_t \cdot r
\]

Dividing both sides by \( a_t \) (assuming \( a_t \neq 0 \)):

\[
a_t \cdot t^2 = r
\]

Solving for \( t^2 \):

\[
t^2 = \frac{r}{a_t}
\]

Taking the square root of both sides:

\[
t = \sqrt{\frac{r}{a_t}}
\]

Substituting the given values \( r = 40 \, \text{cm} \) and \( a_t = 10 \, \text{cm/s}^2 \):

\[
t = \sqrt{\frac{40}{10}} = \sqrt{4} = 2 \, \text{s}
\]

Thus, the time needed for the normal acceleration to equal the tangential acceleration is \( \boxed{2 \, \text{s}} \).",Rotational Kinematics,"To solve this problem, we need to find the time at which the normal (centripetal) acceleration equals the tangential acceleration. Let's denote:

- \( a_t = 10 \, \text{cm/s}^2 \) as the tangential acceleration,
- \( r = 40 \, \text{cm} \) as the radius of the circle.

The normal acceleration \( a_n \) is given by:

\[
a_n = \frac{v^2}{r}
\]

where \( v \) is the tangential velocity. Since the point starts from rest and moves with a constant tangential acceleration, the velocity \( v \) at time \( t \) is:

\[
v = a_t \cdot t
\]

Substituting this into the expression for normal acceleration, we get:

\[
a_n = \frac{(a_t \cdot t)^2}{r}
\]

We set the normal acceleration equal to the tangential acceleration:

\[
\frac{(a_t \cdot t)^2}{r} = a_t
\]

Simplifying, we have:

\[
(a_t \cdot t)^2 = a_t \cdot r
\]

\[
a_t^2 \cdot t^2 = a_t \cdot r
\]

Dividing both sides by \( a_t \) (assuming \( a_t \neq 0 \)):

\[
a_t \cdot t^2 = r
\]

Solving for \( t^2 \):

\[
t^2 = \frac{r}{a_t}
\]

Taking the square root of both sides:

\[
t = \sqrt{\frac{r}{a_t}}
\]

Substituting the given values \( r = 40 \, \text{cm} \) and \( a_t = 10 \, \text{cm/s}^2 \):

\[
t = \sqrt{\frac{40}{10}} = \sqrt{4} = 2 \, \text{s}
\]

Thus, the time needed for the normal acceleration to equal the tangential acceleration is \( \boxed{2 \, \text{s}} \)."
3.5,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

A point moves along a circle of radius \( R = 4 \, \text{cm} \). The distance \( x \) is related to time \( t \) by the equation:
\[
x = c t^3
\]
where \( c = 0.3 \, \text{cm/s}^3 \). We need to find the normal and tangential accelerations of the point at the instant when its linear velocity is \( v = 0.4 \, \text{m/s} \).

First, let's find the expression for the velocity \( v \):
\[
v = \frac{dx}{dt} = \frac{d}{dt}(c t^3) = 3c t^2
\]

Given \( v = 0.4 \, \text{m/s} = 40 \, \text{cm/s} \), we can solve for \( t \):
\[
40 = 3 \times 0.3 \times t^2 \implies t^2 = \frac{40}{0.9} \implies t = \sqrt{\frac{40}{0.9}}
\]

Next, we find the tangential acceleration \( a_t \):
\[
a_t = \frac{dv}{dt} = \frac{d}{dt}(3c t^2) = 6c t
\]

Substituting the value of \( t \) we found:
\[
a_t = 6 \times 0.3 \times \sqrt{\frac{40}{0.9}}
\]

Now, let's find the normal acceleration \( a_n \):
\[
a_n = \frac{v^2}{R}
\]

Substituting the given values:
\[
a_n = \frac{(40)^2}{4}
\]

Thus, the normal and tangential accelerations are:
\[
a_t = 6 \times 0.3 \times \sqrt{\frac{40}{0.9}} \, \text{cm/s}^2
\]
\[
a_n = \frac{1600}{4} = 400 \, \text{cm/s}^2
\]

\end{document}",Rotational Kinematics,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

A point moves along a circle of radius \( R = 4 \, \text{cm} \). The distance \( x \) is related to time \( t \) by the equation:
\[
x = c t^3
\]
where \( c = 0.3 \, \text{cm/s}^3 \). We need to find the normal and tangential accelerations of the point at the instant when its linear velocity is \( v = 0.4 \, \text{m/s} \).

First, let's find the expression for the velocity \( v \):
\[
v = \frac{dx}{dt} = \frac{d}{dt}(c t^3) = 3c t^2
\]

Given \( v = 0.4 \, \text{m/s} = 40 \, \text{cm/s} \), we can solve for \( t \):
\[
40 = 3 \times 0.3 \times t^2 \implies t^2 = \frac{40}{0.9} \implies t = \sqrt{\frac{40}{0.9}}
\]

Next, we find the tangential acceleration \( a_t \):
\[
a_t = \frac{dv}{dt} = \frac{d}{dt}(3c t^2) = 6c t
\]

Substituting the value of \( t \) we found:
\[
a_t = 6 \times 0.3 \times \sqrt{\frac{40}{0.9}}
\]

Now, let's find the normal acceleration \( a_n \):
\[
a_n = \frac{v^2}{R}
\]

Substituting the given values:
\[
a_n = \frac{(40)^2}{4}
\]

Thus, the normal and tangential accelerations are:
\[
a_t = 6 \times 0.3 \times \sqrt{\frac{40}{0.9}} \, \text{cm/s}^2
\]
\[
a_n = \frac{1600}{4} = 400 \, \text{cm/s}^2
\]

\end{document}"
3.6,"\documentclass{article}
\usepackage{amsmath}
\usepackage{amssymb}

\begin{document}

\section*{Physics Problem}

\begin{enumerate}
    \item[(a)] Using the unit vectors $\hat{\imath}$ and $\hat{\jmath}$, write down an expression for the position vector in the polar form.
    
    \item[(b)] Show that the acceleration is directed towards the centre of the circular motion.
\end{enumerate}

\section*{Solution}

\begin{enumerate}
    \item[(a)] In polar coordinates, the position vector $\vec{r}$ can be expressed as:
    \[
    \vec{r} = r \cos\theta \, \hat{\imath} + r \sin\theta \, \hat{\jmath}
    \]
    where $r$ is the radial distance from the origin, $\theta$ is the angle from the positive $x$-axis, $\hat{\imath}$ is the unit vector in the $x$-direction, and $\hat{\jmath}$ is the unit vector in the $y$-direction.

    \item[(b)] For circular motion, the acceleration $\vec{a}$ is given by the centripetal acceleration, which is directed towards the center of the circle. The centripetal acceleration is expressed as:
    \[
    \vec{a} = -\frac{v^2}{r} \, \hat{r}
    \]
    where $v$ is the tangential velocity, $r$ is the radius of the circle, and $\hat{r}$ is the unit vector pointing radially outward. The negative sign indicates that the acceleration is directed towards the center of the circular path, opposite to the radial direction.
\end{enumerate}

\end{document}",Rotational Kinematics,"\documentclass{article}
\usepackage{amsmath}
\usepackage{amssymb}

\begin{document}

\section*{Physics Problem}

\begin{enumerate}
    \item[(a)] Using the unit vectors $\hat{\imath}$ and $\hat{\jmath}$, write down an expression for the position vector in the polar form.
    
    \item[(b)] Show that the acceleration is directed towards the centre of the circular motion.
\end{enumerate}

\section*{Solution}

\begin{enumerate}
    \item[(a)] In polar coordinates, the position vector $\vec{r}$ can be expressed as:
    \[
    \vec{r} = r \cos\theta \, \hat{\imath} + r \sin\theta \, \hat{\jmath}
    \]
    where $r$ is the radial distance from the origin, $\theta$ is the angle from the positive $x$-axis, $\hat{\imath}$ is the unit vector in the $x$-direction, and $\hat{\jmath}$ is the unit vector in the $y$-direction.

    \item[(b)] For circular motion, the acceleration $\vec{a}$ is given by the centripetal acceleration, which is directed towards the center of the circle. The centripetal acceleration is expressed as:
    \[
    \vec{a} = -\frac{v^2}{r} \, \hat{r}
    \]
    where $v$ is the tangential velocity, $r$ is the radius of the circle, and $\hat{r}$ is the unit vector pointing radially outward. The negative sign indicates that the acceleration is directed towards the center of the circular path, opposite to the radial direction.
\end{enumerate}

\end{document}"
3.8,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

A wheel rotates with a constant angular acceleration $\alpha = 3 \, \text{rad/s}^2$. At time $t = 1.0 \, \text{s}$ after the motion begins, the total acceleration of the wheel becomes $a = 12\sqrt{10} \, \text{cm/s}^2$. Determine the radius of the wheel.

\end{document}",Rotational Kinematics,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

A wheel rotates with a constant angular acceleration $\alpha = 3 \, \text{rad/s}^2$. At time $t = 1.0 \, \text{s}$ after the motion begins, the total acceleration of the wheel becomes $a = 12\sqrt{10} \, \text{cm/s}^2$. Determine the radius of the wheel.

\end{document}"
3.10,"\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

\title{Conical Pendulum Problem}
\author{}
\date{}
\maketitle

\section*{Problem Statement}

The conical pendulum consists of a bob of mass $m$ attached to the end of an inflexible light string tied to a fixed point $O$ and swung around so that it describes a circle in a horizontal plane. While revolving, the string generates a conical surface around the vertical axis $ON$, the height of the cone being $ON = H$, the projection of $OP$ on the vertical axis (see Fig. 3.2). Show that the angular velocity of the bob is given by $\omega = \sqrt{\frac{g}{H}}$, where $g$ is the acceleration due to gravity.

\begin{figure}[h]
    \centering
    \includegraphics[width=0.5\textwidth]{conical_pendulum.png} % Replace with the actual path to the figure
    \caption{Conical pendulum}
    \label{fig:conical_pendulum}
\end{figure}

\section*{Solution}

To derive the expression for the angular velocity $\omega$, consider the forces acting on the bob. The tension $T$ in the string provides the necessary centripetal force for circular motion and also balances the gravitational force. Let $\theta$ be the angle between the string and the vertical axis.

The vertical component of the tension balances the weight of the bob:
\[
T \cos \theta = mg
\]

The horizontal component provides the centripetal force:
\[
T \sin \theta = m \omega^2 r
\]

where $r$ is the radius of the circular path, given by $r = L \sin \theta$, with $L$ being the length of the string.

From the geometry of the conical pendulum, we have:
\[
\cos \theta = \frac{H}{L}
\]

Substituting $r = L \sin \theta$ into the centripetal force equation and using $\cos \theta = \frac{H}{L}$, we get:
\[
T \sin \theta = m \omega^2 L \sin \theta
\]

Using the vertical force balance equation, we can express $T$ as:
\[
T = \frac{mg}{\cos \theta}
\]

Substitute $T$ into the centripetal force equation:
\[
\frac{mg \sin \theta}{\cos \theta} = m \omega^2 L \sin \theta
\]

Cancel $m \sin \theta$ from both sides:
\[
\frac{g}{\cos \theta} = \omega^2 L
\]

Substitute $\cos \theta = \frac{H}{L}$:
\[
\frac{g}{\frac{H}{L}} = \omega^2 L
\]

Simplify to find $\omega$:
\[
g \frac{L}{H} = \omega^2 L
\]

\[
\omega^2 = \frac{g}{H}
\]

\[
\omega = \sqrt{\frac{g}{H}}
\]

Thus, the angular velocity of the bob is $\omega = \sqrt{\frac{g}{H}}$.

\end{document}",Rotational Kinematics,"\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

\title{Conical Pendulum Problem}
\author{}
\date{}
\maketitle

\section*{Problem Statement}

The conical pendulum consists of a bob of mass $m$ attached to the end of an inflexible light string tied to a fixed point $O$ and swung around so that it describes a circle in a horizontal plane. While revolving, the string generates a conical surface around the vertical axis $ON$, the height of the cone being $ON = H$, the projection of $OP$ on the vertical axis (see Fig. 3.2). Show that the angular velocity of the bob is given by $\omega = \sqrt{\frac{g}{H}}$, where $g$ is the acceleration due to gravity.

\begin{figure}[h]
    \centering
    \includegraphics[width=0.5\textwidth]{conical_pendulum.png} % Replace with the actual path to the figure
    \caption{Conical pendulum}
    \label{fig:conical_pendulum}
\end{figure}

\section*{Solution}

To derive the expression for the angular velocity $\omega$, consider the forces acting on the bob. The tension $T$ in the string provides the necessary centripetal force for circular motion and also balances the gravitational force. Let $\theta$ be the angle between the string and the vertical axis.

The vertical component of the tension balances the weight of the bob:
\[
T \cos \theta = mg
\]

The horizontal component provides the centripetal force:
\[
T \sin \theta = m \omega^2 r
\]

where $r$ is the radius of the circular path, given by $r = L \sin \theta$, with $L$ being the length of the string.

From the geometry of the conical pendulum, we have:
\[
\cos \theta = \frac{H}{L}
\]

Substituting $r = L \sin \theta$ into the centripetal force equation and using $\cos \theta = \frac{H}{L}$, we get:
\[
T \sin \theta = m \omega^2 L \sin \theta
\]

Using the vertical force balance equation, we can express $T$ as:
\[
T = \frac{mg}{\cos \theta}
\]

Substitute $T$ into the centripetal force equation:
\[
\frac{mg \sin \theta}{\cos \theta} = m \omega^2 L \sin \theta
\]

Cancel $m \sin \theta$ from both sides:
\[
\frac{g}{\cos \theta} = \omega^2 L
\]

Substitute $\cos \theta = \frac{H}{L}$:
\[
\frac{g}{\frac{H}{L}} = \omega^2 L
\]

Simplify to find $\omega$:
\[
g \frac{L}{H} = \omega^2 L
\]

\[
\omega^2 = \frac{g}{H}
\]

\[
\omega = \sqrt{\frac{g}{H}}
\]

Thus, the angular velocity of the bob is $\omega = \sqrt{\frac{g}{H}}$.

\end{document}"
3.11,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

\section*{Problem}

If the number of steady revolutions per minute of a conical pendulum is increased from 70 to 80, what would be the difference in the level of the bob?

\section*{Solution}

To find the difference in the level of the bob, we need to consider the geometry and dynamics of a conical pendulum. The bob of the pendulum moves in a horizontal circle with radius \( r \), and the string makes an angle \( \theta \) with the vertical. The forces acting on the bob are the tension in the string \( T \) and the gravitational force \( mg \).

The centripetal force required to keep the bob moving in a circle is provided by the horizontal component of the tension:

\[
T \sin \theta = m \omega^2 r
\]

where \( \omega \) is the angular velocity in radians per second. The vertical component of the tension balances the gravitational force:

\[
T \cos \theta = mg
\]

Dividing these two equations gives:

\[
\tan \theta = \frac{\omega^2 r}{g}
\]

The height \( h \) of the bob above the lowest point is given by:

\[
h = L \cos \theta
\]

where \( L \) is the length of the string. Using the relation for \(\cos \theta\):

\[
\cos \theta = \frac{g}{\sqrt{g^2 + \omega^4 r^2}}
\]

The angular velocity \( \omega \) is related to the revolutions per minute (rpm) by:

\[
\omega = \frac{2 \pi N}{60}
\]

where \( N \) is the number of revolutions per minute.

Now, calculate the height difference when \( N \) changes from 70 to 80 rpm.

Let \( h_1 \) and \( h_2 \) be the heights for 70 rpm and 80 rpm, respectively.

\[
h_1 = L \frac{g}{\sqrt{g^2 + \left(\frac{2 \pi \times 70}{60}\right)^4 r^2}}
\]

\[
h_2 = L \frac{g}{\sqrt{g^2 + \left(\frac{2 \pi \times 80}{60}\right)^4 r^2}}
\]

The difference in height \(\Delta h\) is:

\[
\Delta h = h_2 - h_1
\]

Substitute the values and solve for \(\Delta h\) to find the difference in the level of the bob.

\end{document}",Rotational Kinematics,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

\section*{Problem}

If the number of steady revolutions per minute of a conical pendulum is increased from 70 to 80, what would be the difference in the level of the bob?

\section*{Solution}

To find the difference in the level of the bob, we need to consider the geometry and dynamics of a conical pendulum. The bob of the pendulum moves in a horizontal circle with radius \( r \), and the string makes an angle \( \theta \) with the vertical. The forces acting on the bob are the tension in the string \( T \) and the gravitational force \( mg \).

The centripetal force required to keep the bob moving in a circle is provided by the horizontal component of the tension:

\[
T \sin \theta = m \omega^2 r
\]

where \( \omega \) is the angular velocity in radians per second. The vertical component of the tension balances the gravitational force:

\[
T \cos \theta = mg
\]

Dividing these two equations gives:

\[
\tan \theta = \frac{\omega^2 r}{g}
\]

The height \( h \) of the bob above the lowest point is given by:

\[
h = L \cos \theta
\]

where \( L \) is the length of the string. Using the relation for \(\cos \theta\):

\[
\cos \theta = \frac{g}{\sqrt{g^2 + \omega^4 r^2}}
\]

The angular velocity \( \omega \) is related to the revolutions per minute (rpm) by:

\[
\omega = \frac{2 \pi N}{60}
\]

where \( N \) is the number of revolutions per minute.

Now, calculate the height difference when \( N \) changes from 70 to 80 rpm.

Let \( h_1 \) and \( h_2 \) be the heights for 70 rpm and 80 rpm, respectively.

\[
h_1 = L \frac{g}{\sqrt{g^2 + \left(\frac{2 \pi \times 70}{60}\right)^4 r^2}}
\]

\[
h_2 = L \frac{g}{\sqrt{g^2 + \left(\frac{2 \pi \times 80}{60}\right)^4 r^2}}
\]

The difference in height \(\Delta h\) is:

\[
\Delta h = h_2 - h_1
\]

Substitute the values and solve for \(\Delta h\) to find the difference in the level of the bob.

\end{document}"
3.12,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

A central wheel can rotate about its central axis, which is vertical. From a point on the rim hangs a simple pendulum. When the wheel is caused to rotate uniformly, the angle of inclination of the pendulum to the vertical is $\theta_0$. If the radius of the wheel is $R$ cm and the length of the pendulum is 1 cm, obtain an expression for the number of rotations of the wheel per second. [University of Newcastle]

\end{document}",Rotational Kinematics,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

A central wheel can rotate about its central axis, which is vertical. From a point on the rim hangs a simple pendulum. When the wheel is caused to rotate uniformly, the angle of inclination of the pendulum to the vertical is $\theta_0$. If the radius of the wheel is $R$ cm and the length of the pendulum is 1 cm, obtain an expression for the number of rotations of the wheel per second. [University of Newcastle]

\end{document}"
