Question_number,Solutions
15.1,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

Let the point source be located at the centre \( O \) of a sphere of radius \( R \), located within the medium. Light proceeding within a cone of semi-angle equal to the critical angle \( C \) can alone escape from a plane surface on the top, as shown in Fig. 15.14.

\begin{figure}[h]
    \centering
    \includegraphics[width=0.5\textwidth]{figure.png} % Replace with actual figure file
    \caption{Light from a point source escaping through a plane surface on the top}
    \label{fig:light_escape}
\end{figure}

Consider a circular strip of radius \( r \) and width \( dr \), symmetric over the sphere’s surface. The angle \( \theta \) is measured with respect to the \( z \)-axis.

\[
\text{Area of the circular strip} = 2\pi r \, dr
\]

\[
\text{Surface area of the sphere} = 4\pi R^2
\]

The fraction \( df \) of the area of the strip to the area of the sphere is given by:

\[
df = \frac{\text{area of the strip}}{\text{area of the sphere}} = \frac{2\pi r \, dr}{4\pi R^2} = \frac{1}{2} \frac{(R \sin \theta)(R \, d\theta)}{R^2} = \frac{1}{2} \sin \theta \, d\theta
\]

The fraction of light escaping within the semi-angle \( \theta \) is then given by:

\[
f = \int df = \int_0^\theta \frac{1}{2} \sin \theta \, d\theta = \frac{1}{2}(1 - \cos \theta)
\]

Substituting \( \theta = C \), the critical angle, we have:

\[
\cos \theta = \cos C = \sqrt{1 - \sin^2 C} = \sqrt{1 - \frac{1}{\mu^2}} = \frac{1}{\mu} \sqrt{\mu^2 - 1}
\]

Thus, the fraction \( f \) becomes:

\[
f = \frac{1}{2} \left[ 1 - \frac{1}{\mu} \sqrt{\mu^2 - 1} \right]
\]

\end{document}
```"
15.2,"```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

The momentum carried by each photon is given by \(\frac{h\nu}{c}\). If it is incident normally on a black surface, it exerts an impulse of \(\frac{h\nu}{c}\). The total pressure exerted would be 

\[
\frac{1}{c} \sum h\nu
\]

where the summation extends over photons of all frequencies incident on the surface per unit area per second. If \(W\) is the power of the source, then at distance \(r\), the intensity \(I\) is given by

\[
I = \frac{W}{4\pi r^2}
\]

Then the pressure \(P\) is

\[
P = \frac{I}{c} = \frac{W}{4\pi r^2 c}
\]

Substituting the given values, we have

\[
P = \frac{1000}{(4\pi)(22)(3 \times 10^8)} = 6.63 \times 10^{-8} \, \text{Pa}
\]

\end{document}
```

This LaTeX code will properly format the physics problem and solution with the correct mathematical notation and alignment."
15.3,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

Suppose a ray going from $A$ to $B$ traverses distances $s_1, s_2, s_3, \ldots, s_p$ in media of indices $n_1, n_2, n_3, \ldots, n_p$, respectively. The total time of flight is then (Fig. 15.15):

\begin{equation}
t = \sum_{i=1}^{p} \frac{s_i}{\nu_i} = \frac{1}{c} \sum_{i=1}^{p} n_i s_i
\end{equation}

The last summation is known as the optical path length (O.P.L). Fermat’s principle states that a ray of light traverses from one point to another by a route which takes the least time. A more stringent formulation of Fermat’s principle is as follows: A ray of light, in traversing from one point to another, regardless of the media, adopts such a route which corresponds to a stationary value of the optical path length:

\begin{equation}
\text{O.P.L} = \int_{A}^{B} n(s) \, ds
\end{equation}

\begin{center}
\includegraphics[width=0.5\textwidth]{figure15_15.png} % Placeholder for Fig. 15.15
\end{center}

A function $f(x)$ is said to have a stationary value at $x = x_0$, if its derivative $\frac{df}{dx}$ vanishes at $x = x_0$. A stationary value could correspond to a maximum or minimum. Let a ray of light proceed from $A(0, y_1)$ in a medium of index $n_1$ and be incident at $C(x, 0)$ on the interface, get refracted, and reach $B(x_2, y_2)$ in the medium of index $n_2$:

\begin{equation}
\text{O.P.L.} = n_1(AC) + n_2(CB) = n_1 \sqrt{x^2 + y_1^2} + n_2 \sqrt{(x_2 - x)^2 + y_2^2}
\end{equation}

Taking the derivative with respect to $x$ and setting it to zero for stationary value:

\begin{equation}
\frac{d(\text{O.P.L.})}{dx} = 0 \quad \Rightarrow \quad n_1 \frac{x}{\sqrt{x^2 + y_1^2}} - n_2 \frac{x_2 - x}{\sqrt{(x_2 - x)^2 + y_2^2}} = 0
\end{equation}

This simplifies to:

\begin{equation}
n_1 \sin i - n_2 \sin r = 0 \quad \Rightarrow \quad \frac{\sin i}{\sin r} = \frac{n_2}{n_1} \quad (\text{Snell's law})
\end{equation}

\end{document}
```

This LaTeX code includes equations, text, and a placeholder for the figure (Fig. 15.15), formatted correctly for a physics document."
15.4,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

\section*{Mirage: An Optical Illusion}

A mirage is a type of illusion formed by light rays coming from the low region of the sky in front of the observer. On a sunny day, a road gets heated, and a temperature gradient is established in the vertical direction with the upper air layer being slightly less warm, and the corresponding indices of refraction being slightly larger. As the rays penetrate the atmospheric depth, they start bending due to refraction, becoming horizontal to the road and then bending upwards. The blue of the sky in the background produces a virtual image of a water pool, and the turbulence of air close to the road enhances the effect of a water pool with waves on the surface. This phenomenon is known as a mirage.

\subsection*{(a) Explanation with Reference to Figure}

% Include the figure here
\begin{figure}[h]
    \centering
    \includegraphics[width=0.8\textwidth]{mirage_figure.png} % Replace with the actual file name
    \caption{Illustration of light ray bending due to temperature gradient causing a mirage.}
    \label{fig:mirage}
\end{figure}

Referring to Fig. \ref{fig:mirage}, we can see how the temperature gradient causes the light rays to bend. As the road heats up, the air just above it becomes warmer and less dense, resulting in a lower refractive index. The light rays from the sky bend towards the denser, cooler air above, eventually reaching a point where they bend upwards, creating the illusion of a water pool on the road.

\end{document}
```

This LaTeX document includes a description of the mirage phenomenon and a placeholder for a figure that illustrates the concept. You can replace `mirage_figure.png` with the actual file name of your figure."
15.5,"```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

\section*{Optical Path Length}

The optical path length (O.P.L) is given by:

\[
\text{O.P.L} = \sum_{i=1}^{2} n_i s_i = n_1 AB + n_2 BC + n_1 CD
\]

This can be expressed as:

\[
\text{O.P.L} = n_1 \sqrt{\frac{(d-x)^2}{4} + h^2} + n_2 x + n_1 \sqrt{\frac{(d-x)^2}{4} + h^2}
\]

Simplifying, we have:

\[
\text{O.P.L} = n_2 x + n_1 \sqrt{(d-x)^2 + 4h^2} \tag{1}
\]

\subsection*{(b) Fermat's Principle}

According to Fermat's principle, the derivative of the optical path length with respect to \(x\) is zero:

\[
\frac{d(\text{O.P.L})}{dx} = 0
\]

Using equation (1), we have:

\[
n_2 - n_1 \frac{(d-x)}{\sqrt{(d-x)^2 + 4h^2}} = 0
\]

Substituting \(n_1 = 1.00030\), \(n_2 = 1.00020\), and \(h = 2 \, \text{m}\), and solving, we find:

\[
d-x = 282.8 \tag{2}
\]

Thus,

\[
x = 500 - 282.8 = 217.2 \, \text{m}
\]

\subsection*{(c) Observation}

From equation (2), it is observed that as \(d\) decreases, \(x\) also decreases. The smallest value for \(x\) is zero, in which case the distance of the observer from the tree would be \(d = 282.8 \, \text{m}\) when the mirage disappears.

\section*{15.5 (a) Purpose of Cladding}

The purpose of the cladding is to improve the transmission efficiency of the optical fibre. If cladding is not used, then the signal is attenuated dramatically.

\subsection*{(b) Ray Incidence}

Let a ray be incident at an angle \(\theta\).

\end{document}
```

This LaTeX document includes sections for the optical path length, Fermat's principle, observations, and the purpose of cladding, formatted with equations and explanations."
15.6,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

The angle of refraction at point \( P \) is \(\theta_p\). Let \( C \) be the critical angle at \( Q \), the interface of core and cladding:

\[
\sin C = \frac{n_1}{n_2}
\]

where \( n_1 \) and \( n_2 \) are the indices of refraction of the cladding and core, respectively. The angle of refraction \(\theta_p\) is given by:

\[
\theta_p = 90^\circ - \theta_{\text{in}}
\]

where \(\theta_{\text{in}}\) is the angle of incidence at \( Q \). Applying Snell's law:

\[
n_0 \sin \theta = n_2 \sin \theta_p = n_2 \sin(90^\circ - \theta_{\text{in}}) = n_2 \cos \theta_{\text{in}}
\]

For internal reflection, \(\theta_{\text{in}} > C\) or \(\cos \theta_{\text{in}} < \cos C\). Therefore:

\[
n_0 \sin \theta \leq n_2 \cos C
\]

But:

\[
n_2 \cos C = n_2 \sqrt{1 - \sin^2 C} = \sqrt{n_2^2 - n_1^2}
\]

Thus:

\[
n_0 \sin \theta \leq \sqrt{n_2^2 - n_1^2}
\]

This shows that there is a maximum angle of the acceptance cone outside of which entering rays will not be totally reflected within the fiber. For the largest acceptance cone, it is desirable to choose the index of refraction of the cladding to be as small as possible. This is achieved if there is no cladding at all. However, this leads to other problems associated with the loss of intensity.

\subsection*{(c) Transmission Reduction}

The transmission is reduced due to multiple reflections and the absorption of the fiber core material due to impurities.

\subsection*{Example Calculation}

With reference to Fig. 15.6, using Snell's law:

\[
n_2 \sin r_1 = n_1 \sin 20^\circ
\]

Thus:

\[
\sin r_1 = \frac{n_1}{n_2} \sin 20^\circ = \frac{1.1}{1.6} \times 0.342 = 0.2351
\]

Therefore:

\[
r_1 = 13.6^\circ
\]

From the geometry of Fig. 15.16:

\[
r_2 = 40^\circ - 13.6^\circ = 26.4^\circ \quad (\because r_1 + r_2 = A, \text{ the apex angle})
\]

Using Snell's law again:

\[
n_1 \sin i_2 = n_2 \sin r_2
\]

Thus:

\[
\sin i_2 = \frac{n_2}{n_1} \sin r_2 = \frac{1.6}{1.1} \sin 26.4^\circ = 0.6467
\]

Therefore:

\[
i_2 = 40.3^\circ
\]

The angle \(\phi\) is given by:

\[
\phi = 90^\circ - 40.3^\circ = 49.7^\circ
\]

And the angle \(\theta\) is:

\[
\theta = 80^\circ - 49.7^\circ = 30.3^\circ \quad (\because \text{The exterior angle is equal to the sum of the interior angles})
\]

\begin{figure}[h]
    \centering
    \includegraphics[width=0.5\textwidth]{triangular_glass_prism.png}
    \caption{Triangular glass prism}
    \label{fig:prism}
\end{figure}

\end{document}
```"
15.7,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

\section*{Physics Problem Solution}

\subsection*{(a)}

Given:
\[
\sin C = \frac{1}{n_g} = \frac{1}{1.45} = 0.6896
\]

Thus, the critical angle \( C \) is:
\[
C = \sin^{-1}(0.6896) \approx 43.6^\circ
\]

\subsection*{(b)}

In applying Snell's law, instead of measuring angles with respect to the normal, we will measure them with respect to the interface for convenience. Thus, we have:
\[
1.2 \cos 45^\circ = 1.0 \cos \theta
\]

Solving for \( \theta \):
\[
\theta = \cos^{-1}\left(\frac{1.2 \cos 45^\circ}{1.0}\right) \approx 31.9^\circ
\]

From Fig. 15.17, since \( AC \) is parallel to \( EF \), we have:
\[
\angle BAC = \angle BCA = 45^\circ
\]

Thus, in triangle \( \triangle ADC \), the angle \( \alpha \) is:
\[
\alpha = 180^\circ - 2(\theta + 45^\circ) = 180^\circ - 2(31.9^\circ + 45^\circ) = 26.2^\circ
\]

\begin{figure}[h]
    \centering
    \includegraphics[width=0.5\textwidth]{Fig15_17.png}
    \caption{Refraction in a prism}
    \label{fig:refraction_prism}
\end{figure}

\end{document}
```

This code will format the given physics problem and solution into a structured LaTeX document, including equations and a placeholder for the figure. Make sure to replace `Fig15_17.png` with the actual path to your image file if you have one."
15.8,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

The net deviation of the ray is given by:
\begin{equation}
    \delta = (i_1 - r_1) + (360^\circ - 2r_2) + (i_3 - r_3)
\end{equation}

In the minimum angle position, we have:
\[
r_1 = r_2 = \frac{A}{2} = \frac{60^\circ}{2} = 30^\circ
\]

From the geometry of Fig. 15.18, we find:
\[
r_3 = 30^\circ
\]

\begin{center}
\includegraphics[width=0.5\textwidth]{figure15_18.png}
\end{center}

\textbf{Fig. 15.18:} Deviation of a ray incident in the minimum deviation position of the prism after suffering one internal reflection.

By Snell's law:
\[
\sin i_1 = n \sin r_1 = 1.5 \times \sin 30^\circ = 0.75
\]

Thus, solving for \(i_1\):
\[
i_1 = 48.59^\circ
\]

Similarly, for \(i_3\):
\[
i_3 = 48.59^\circ
\]

Therefore, the net deviation \(\delta\) is:
\[
\delta = (48.59^\circ - 30^\circ) + (360^\circ - 2 \times 30^\circ) + (48.59^\circ - 30^\circ) = 337.18^\circ
\]

\end{document}
```

This LaTeX code includes the necessary mathematical expressions and a placeholder for the figure (Fig. 15.18), which should be replaced with the actual image file path if available. The equations are formatted to align with standard physics notation."
15.9,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

\section*{Lens Equation and Image Formation}

The lens equation is given by:
\[
\frac{1}{u} + \frac{1}{v} = \frac{1}{f}
\]
where \( u \) is the object distance, and \( v \) is the image distance, both measured from the center of the lens. For real objects and images, \( u \) and \( v \) are positive. For virtual objects or images, \( u \) and \( v \) are negative. The focal length \( f \) is positive for a convex lens and negative for a concave lens.

Let the object \( O \) be placed at a distance \( u_1 \) from lens \( L_1 \) with focal length \( f_1 \). The second lens \( L_2 \) is placed at a distance \( d \) behind \( L_1 \), as shown in Fig. 15.19. The image \( I_1 \) is formed at a distance \( v_1 \) from lens \( L_1 \) alone. From the lens equation:
\[
\frac{1}{u_1} + \frac{1}{v_1} = \frac{1}{f_1}
\]
or
\[
v_1 = \frac{f_1 u_1}{u_1 - f_1} \tag{1}
\]

The image acts as an object for the second lens \( L_2 \) (real or virtual):
\[
-\frac{1}{v_1 - d} + \frac{1}{v_2} = \frac{1}{f_2}
\]

From Fig. 15.19, the image due to the combination of two lenses, a distance \( d \) apart, is given by:
\[
v_2 = \frac{f_2(v_1 - d)}{f_2 + v_1 - d}
\]

Substituting \( v_1 \) from (1) and simplifying, we get:
\[
v_2 = \frac{f_2 [f_1 u_1 - d(u_1 - f_1)]}{f_1 u_1 + (u_1 - f_1)(f_2 - d)} \tag{2}
\]

In the limit \( d \to 0 \), equation (2) reduces to:
\[
v_2 = \frac{f_1 f_2 u_1}{f_1 u_1 + f_2 u_1 - f_1 f_2}
\]
or
\[
\frac{1}{u_1} + \frac{1}{v_2} = \frac{1}{f} = \frac{1}{f_1} + \frac{1}{f_2}
\]

\begin{figure}[h]
    \centering
    \includegraphics[width=0.6\textwidth]{lens_combination.png}
    \caption{Image due to combination of two lenses, a distance \( d \) apart.}
    \label{fig:lens_combination}
\end{figure}

\end{document}
```

This LaTeX code provides a structured and formatted representation of the physics problem involving the lens equation and image formation through a combination of two lenses. It includes equations, explanations, and a placeholder for a figure (Fig. 15.19) to illustrate the concept."
15.10,"```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

The location of the object, the screen, and the positions of the lens are indicated in Fig. 15.20.

\begin{align}
    u_1 + v_1 &= D \tag{1} \\
    u_1 - u_2 &= d \tag{2}
\end{align}

\begin{center}
    \textbf{Fig. 15.20: Real images formed by a convex lens in two positions}
\end{center}

By symmetry, we have:
\begin{align}
    v_2 &= u_1 \tag{3} \\
    v_1 &= u_2 \tag{4}
\end{align}

Then equation (2) becomes:
\begin{equation}
    u_1 - v_1 = d \tag{5}
\end{equation}

The size of the image relative to the size of the object is given by:
\begin{align}
    \frac{I_1}{O} &= \frac{v_1}{u_1} \tag{6} \\
    \frac{I_2}{O} &= \frac{v_2}{u_2} \tag{7}
\end{align}

Thus, we have:
\begin{equation}
    \frac{I_1}{I_2} = \frac{v_1 v_2}{u_2 u_1} = \frac{v_1^2}{v_2^2} \tag{8}
\end{equation}

From equations (1) and (5), we find:
\begin{align*}
    v_2 &= \frac{D + d}{2} \\
    v_1 &= \frac{D - d}{2}
\end{align*}

Therefore,
\begin{equation}
    \frac{I_1}{I_2} = \left(\frac{D - d}{D + d}\right)^2
\end{equation}

(b) Multiplying equations (6) and (7):
\begin{align}
    \frac{I_1}{O} \cdot \frac{I_2}{O} &= \frac{v_1}{u_1} \cdot \frac{v_2}{u_2} = \frac{u_2}{u_1} \cdot \frac{u_1}{u_2} = 1 \\
    \therefore O &= \sqrt{I_1 I_2}
\end{align}

(c) Using the lens formula:
\begin{equation}
    \frac{1}{u_1} + \frac{1}{v_1} = \frac{1}{f}
\end{equation}

Substituting from equations (1), (2), and (4):
\begin{equation}
    \frac{2}{D + d} + \frac{2}{D - d} = \frac{1}{f}
\end{equation}

Thus,
\begin{equation}
    f = \frac{D^2 - d^2}{4D}
\end{equation}

(d) From the result of (c), we have:
\begin{equation}
    d^2 = \frac{Df(D - 4f)}{D}
\end{equation}

Since \(d^2\) must be positive, it follows that:
\begin{equation}
    D > 4f
\end{equation}

\end{document}
```
"
